"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"18","1021.1","1024.8","1023.4","2023/11/18 08:03:00","1019.2","2023/11/18 14:32:00","16.3","20.8","2023/11/18 12:42:00","12.4","2023/11/18 05:16:00","8.0","59","39","2023/11/18 12:07:00","2.1","90","12.0","90","2023/11/18 14:46:00","0.0","0.0","0.0","--","0.0","--","8.5","78.8","15.52","30.0","2.8","6","2023/11/18 13:00:00","4.4"
"19","1017.6","1021.3","1020.7","2023/11/19 00:02:00","1014.9","2023/11/19 15:03:00","18.7","23.5","2023/11/19 13:28:00","13.3","2023/11/19 05:34:00","12.2","67","53","2023/11/19 13:29:00","2.1","90","10.3","50","2023/11/19 14:15:00","0.0","0.0","0.0","--","0.0","--","10.2","94.7","16.97","30.0","3.7","6","2023/11/19 12:00:00","2.8"
"20","1016.1","1019.7","1017.4","2023/11/20 08:27:00","1014.8","2023/11/20 14:18:00","21.0","24.2","2023/11/20 11:50:00","18.4","2023/11/20 01:25:00","14.2","65","52","2023/11/20 14:54:00","3.3","90","13.5","70","2023/11/20 12:21:00","0.0","0.0","0.0","--","0.0","--","6.7","62.3","14.30","42.0","3.1","5","2023/11/20 12:00:00","5.6"
"21","1013.8","1017.3","1016.0","2023/11/21 00:01:00","1011.3","2023/11/21 14:31:00","23.0","26.4","2023/11/21 13:17:00","20.5","2023/11/21 02:56:00","16.7","68","55","2023/11/21 13:23:00","2.8","90","11.8","80","2023/11/21 13:42:00","0.0","0.0","0.0","--","0.0","--","9.6","89.4","16.32","62.0","3.3","6","2023/11/21 12:00:00","2.0"
"22","1012.1","1015.6","1013.7","2023/11/22 08:34:00","1009.8","2023/11/22 14:16:00","23.6","27.9","2023/11/22 12:28:00","20.4","2023/11/22 06:32:00","16.6","65","50","2023/11/22 11:11:00","2.3","90","9.0","80","2023/11/22 15:01:00","0.0","0.0","0.0","--","0.0","--","8.8","82.0","16.28","62.0","3.3","6","2023/11/22 12:00:00","1.8"
"23","1013.3","1016.8","1015.9","2023/11/23 23:19:00","1010.9","2023/11/23 02:31:00","22.5","28.1","2023/11/23 13:11:00","18.7","2023/11/23 06:31:00","16.9","71","42","2023/11/23 12:10:00","2.1","90","10.6","80","2023/11/23 16:30:00","0.0","0.0","0.0","--","0.0","--","10.3","96.1","16.51","52.0","-3.3","6","2023/11/23 12:00:00","3.8"
"24","1019.3","1022.9","1021.7","2023/11/24 21:03:00","1015.9","2023/11/24 00:02:00","20.4","21.5","2023/11/24 03:28:00","18.9","2023/11/24 20:00:00","14.4","69","60","2023/11/24 18:11:00","3.7","90","15.7","70","2023/11/24 15:06:00","0.5","4.1","0.5","2023/11/24 06:58:00","0.5","2023/11/24 06:58:00","0.0","0.0","3.20","14.4","-1.8","1","2023/11/24 12:00:00","9.2"
"25","1019.2","1022.8","1020.8","2023/11/25 09:02:00","1017.9","2023/11/25 14:10:00","20.0","21.7","2023/11/25 11:06:00","19.2","2023/11/25 17:05:00","16.0","78","64","2023/11/25 01:38:00","3.1","90","13.2","90","2023/11/25 14:09:00","T","2.9","T","2023/11/25 00:14:00","T","2023/11/25 00:14:00","0.1","0.9","6.92","29.0","-1.2","4","2023/11/25 12:00:00","9.0"
"26","1016.7","1020.3","1019.0","2023/11/26 07:49:00","1014.7","2023/11/26 15:13:00","20.1","20.8","2023/11/26 13:38:00","18.8","2023/11/26 06:30:00","18.1","89","80","2023/11/26 17:23:00","1.9","100","9.4","80","2023/11/26 14:15:00","2.5","6.9","0.5","2023/11/26 05:13:00","1.0","2023/11/26 05:13:00","0.1","0.9","5.55","19.6","-0.7","2","2023/11/26 10:00:00","9.4"
"27","1015.0","1018.6","1016.6","2023/11/27 20:42:00","1013.7","2023/11/27 04:23:00","21.5","24.1","2023/11/27 12:02:00","19.6","2023/11/27 01:06:00","17.4","78","59","2023/11/27 14:35:00","2.2","100","8.8","70","2023/11/27 11:49:00","T","0.4","T","2023/11/27 00:02:00","T","2023/11/27 00:02:00","1.5","14.1","9.12","22.8","2.1","4","2023/11/27 12:00:00","7.8"
"28","1017.2","1020.8","1020.3","2023/11/28 08:24:00","1015.6","2023/11/28 15:20:00","22.1","25.4","2023/11/28 13:05:00","19.8","2023/11/28 04:26:00","13.3","59","40","2023/11/28 12:44:00","3.8","100","14.5","90","2023/11/28 15:55:00","0.0","0.0","0.0","--","0.0","--","9.7","91.0","16.08","42.0","-4.1","6","2023/11/28 12:00:00","1.0"
"29","1016.0","1019.5","1017.4","2023/11/29 08:46:00","1014.6","2023/11/29 02:10:00","23.5","26.5","2023/11/29 13:01:00","21.3","2023/11/29 02:43:00","16.3","64","55","2023/11/29 13:06:00","1.6","80","9.6","100","2023/11/29 01:21:00","T","1.3","T","2023/11/29 06:48:00","T","2023/11/29 06:48:00","0.5","4.7","7.13","31.0","-1.4","4","2023/11/29 11:00:00","9.2"
"30","1019.3","1022.9","1021.1","2023/11/30 20:27:00","1016.9","2023/11/30 00:32:00","20.1","22.2","2023/11/30 00:01:00","18.4","2023/11/30 23:09:00","17.5","85","72","2023/11/30 04:29:00","2.4","100","12.3","100","2023/11/30 13:02:00","1.5","10.8","0.5","2023/11/30 10:59:00","0.5","2023/11/30 10:59:00","0.0","0.0","3.36","11.1","-0.5","2","2023/11/30 12:00:00","10.0"
